"id","url","title","rating","user_rated","chapters","views","bookmarked","last_update"
879,https://www.mgeko.cc/manga/the-archmages-restaurant/,The Archmage’s Restaurant,"4.4","55","58-eng-li","2.8 M","5.5 K","4 days, 2 hours"
880,https://www.mgeko.cc/manga/bloodhounds-regression-instinct/,Bloodhound’s Regression Instinct,"3.8","49","55-eng-li","1.8 M","4.3 K","1 week, 3 days"
881,https://www.mgeko.cc/manga/game-445/,King's Game,"3.9","17","64-eng-li","407 K","878","1 day, 16 hours"
882,https://www.mgeko.cc/manga/damn-demonic-swords/,Damn Demonic Swords,"3.4","11","50-eng-li","1.2 M","2.6 K","2 months, 1 week"
883,https://www.mgeko.cc/manga/infinite-archives/,Infinite Archives,"0.0","0","38-eng-li","341 K","1.0 K","4 months, 3 weeks"
884,https://www.mgeko.cc/manga/nise-seijo-mira-no-boukentan/,"Nise Seijo!? Mira no Boukentan - Tsuihousaremashita ga, Jitsu wa Saikyou na no de Second Life wo Tanoshimimasu!","0.0","0","4-eng-li","70 K","703","4 months"
885,https://www.mgeko.cc/manga/welcome-to-the-isekai-hotel/,Welcome to the Isekai Hotel!,"3.7","3","11-eng-li","220 K","1.2 K","1 month"
886,https://www.mgeko.cc/manga/the-heavenly-demon-lord-who-doesn-t-want-to-level-up/,The Heavenly Demon Lord Who Doesn't Want to Level Up,"4.2","27","65-eng-li","2.5 M","4.4 K","23 hours, 12 minutes"
887,https://www.mgeko.cc/manga/solo-eating/,Solo Eating,"3.4","7","40-eng-li","1.0 M","2.4 K","3 days, 15 hours"
888,https://www.mgeko.cc/manga/akuyaku-reijou-desu-ga-watashi-o-anata-no-seidorei-ni-shite-kudasai/,"I may be a villainess, but please make me your SS","4.2","5","8-eng-li","284 K","1.5 K","1 week, 5 days"
889,https://www.mgeko.cc/manga/the-invincible-of-the-east/,The Invincible Of The East,"3.0","2","25-eng-li","651 K","1.7 K","10 months, 1 week"
890,https://www.mgeko.cc/manga/maxed-strength-necromancer/,Maxed Strength Necromancer,"3.9","19","64-eng-li","1.6 M","3.5 K","7 hours, 52 minutes"
891,https://www.mgeko.cc/manga/apocalyptic-chef-awakening/,Apocalyptic Chef Awakening,"4.7","12","47-eng-li","855 K","2.5 K","2 months"
892,https://www.mgeko.cc/manga/reincarnated-boss/,Reincarnated Boss,"0.0","0","25-eng-li","584 K","1.6 K","7 months, 2 weeks"
893,https://www.mgeko.cc/manga/isekai-ni-ittara-bunretsu-shite-shimatta/,Isekai ni Ittara Bunretsu Shite Shimatta,"0.0","0","9-eng-li","208 K","1.0 K","11 months, 1 week"
894,https://www.mgeko.cc/manga/boss-returns/,Boss Returns,"4.5","4","8-eng-li","185 K","895","2 days, 21 hours"
895,https://www.mgeko.cc/manga/i-took-over-the-system-players/,I Took Over The System Players,"3.7","6","16-eng-li","283 K","965","23 hours, 23 minutes"
896,https://www.mgeko.cc/manga/all-football-talents-are-mine/,All Football Talents Are Mine,"4.4","19","80-eng-li","2.2 M","2.4 K","3 days, 10 hours"
897,https://www.mgeko.cc/manga/the-great-dao-has-no-name/,The Great Dao Has No Name,"3.0","1","12-eng-li","119 K","500","1 month, 1 week"
898,https://www.mgeko.cc/manga/yeratium-the-world-between-heaven-and-ear/,Yeratium The World Between Heaven And Earth,"0.0","0","01-eng-li","32 K","437","1 year"
899,https://www.mgeko.cc/manga/my-style-of-swordsmanship/,My Style Of Swordsmanship,"4.0","5","11-2-eng-li","277 K","1.1 K","2 weeks"
900,https://www.mgeko.cc/manga/i-have-become-the-undead-monarch/,I Have Become The Undead Monarch,"2.0","10","13-eng-li","346 K","1.4 K","1 month, 2 weeks"
901,https://www.mgeko.cc/manga/manager-seo-industrial-accident/,Manager Seo Industrial Accident,"5.0","1","29-eng-li","344 K","1.2 K","6 months, 3 weeks"
902,https://www.mgeko.cc/manga/weird-and-hard-to-kill-sorry-i-m-the-real-immortal/,"Weird And Hard To Kill? Sorry, I’m The Real Immortal","4.4","18","90-eng-li","955 K","1.3 K","5 days, 20 hours"
903,https://www.mgeko.cc/manga/i-killed-an-academy-player/,I Killed an Academy Player,"4.2","83","60-eng-li","3.0 M","6.2 K","5 days, 2 hours"
904,https://www.mgeko.cc/manga/my-disciples-cultivate-while-i-slack-off/,"My Disciples Cultivate, While I Slack Off!","5.0","1","52-eng-li","905 K","1.5 K","7 months, 1 week"
905,https://www.mgeko.cc/manga/zhege-fanpai-youdian-liangxin-danshi-bu-duo/,Villain: My Brother Is The Chosen One,"3.9","14","260-eng-li","1.6 M","1.1 K","2 months"
906,https://www.mgeko.cc/manga/the-zodiac-patron-saint/,The Zodiac Patron Saint,"0.0","0","98-eng-li","215 K","538","1 year"
907,https://www.mgeko.cc/manga/unrivaled-gamer-dominating-with-the-ex-skill-hero-master/,Unrivaled Gamer: Dominating With the Ex-Skill Hero Master,"0.0","0","4-eng-li","129 K","724","8 months, 3 weeks"
908,https://www.mgeko.cc/manga/i-who-took-the-demon-s-script-lost-all-my/,"I, Who Took the Demon's Script, Lost All My Cultivation And Am Being Hunted by Female Disciples?!","5.0","1","12-eng-li","167 K","751","10 months, 4 weeks"
909,https://www.mgeko.cc/manga/delivery-man-from-murim/,Delivery Man From Murim,"3.6","16","62-eng-li","2.0 M","3.8 K","3 days, 7 hours"
910,https://www.mgeko.cc/manga/regressing-with-the-kings-power/,Regressing with the Kings Power,"3.6","75","66-eng-li","4.6 M","8.4 K","13 hours, 35 minutes"
911,https://www.mgeko.cc/manga/the-imperial-censor-who-can-handle-it-he-speaks-truly-when-theres-trouble/,The Imperial Censor Who Can Handle It – He Speaks Truly When There’s Trouble,"0.0","0","10-eng-li","148 K","650","11 months, 4 weeks"
